uid,match
1,1
2,1
3,0
4,1
5,0
6,1
7,1
8,1
9,0
10,0
11,1
12,1
13,1
14,0
15,0
16,1
17,0
18,1
19,0
20,0
21,1
22,1
23,0
24,1
25,0
26,0
27,1
28,1
29,0
30,1
31,1
32,0
33,1
34,1
35,1
36,1
37,1
38,0
39,1
40,0
41,0
42,1
43,0
44,0
45,0
46,0
47,1
48,1
49,0
50,0
51,0
52,1
53,1
54,1
55,0
56,1
57,0
58,1
59,1
60,0
61,0
62,0
63,1
64,0
65,1
66,1
67,0
68,1
69,1
70,1
71,0
72,0
73,1
74,0
75,0
76,0
77,0
78,0
79,1
80,1
81,0
82,0
83,1
84,0
85,0
86,1
87,0
88,0
89,1
90,1
91,0
92,0
93,1
94,0
95,0
96,0
97,1
98,0
99,1
100,1
101,1
102,0
103,0
104,1
105,1
106,1
107,1
108,1
109,0
110,0
111,1
112,0
113,1
114,0
115,0
116,0
117,1
118,0
119,1
120,1
121,1
122,0
123,0
124,1
125,0
126,1
127,1
128,1
129,0
130,0
131,1
132,0
133,0
134,1
135,0
136,1
137,1
138,1
139,0
140,0
141,0
142,0
143,0
144,0
145,1
146,1
147,1
148,0
149,0
150,0
151,1
152,0
153,0
154,0
155,0
156,1
157,0
158,0
159,1
160,0
161,1
162,0
163,1
164,0
165,0
166,0
167,1
168,1
169,0
170,1
171,0
172,0
173,1
174,1
175,1
176,0
177,1
178,1
179,1
180,0
181,1
182,0
183,1
184,1
185,1
186,0
187,1
188,1
189,1
190,1
191,0
192,0
193,1
194,0
195,0
196,1
197,0
198,1
199,0
200,0
201,1
202,1
203,1
204,1
205,0
206,1
207,0
208,0
209,0
210,0
211,1
212,1
213,1
214,1
215,1
216,0
217,0
218,1
219,0
220,0
221,0
222,1
223,1
224,0
225,1
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,1
234,0
235,1
236,1
237,1
238,0
239,1
240,0
241,1
242,1
243,0
244,0
245,0
246,0
247,0
248,1
249,0
250,1
251,0
252,1
253,1
254,1
255,1
256,1
257,1
258,0
259,1
260,1
261,0
262,1
263,0
264,0
265,0
266,1
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,1
276,1
277,1
278,1
279,0
280,1
281,1
282,0
283,0
284,0
285,1
286,0
287,1
288,1
289,0
290,1
291,0
292,0
293,1
294,0
295,1
296,1
297,1
298,1
299,0
300,0
301,1
302,1
303,0
304,1
305,0
306,0
307,1
308,1
309,0
310,0
311,0
312,1
313,0
314,0
315,1
316,0
317,0
318,1
319,1
320,0
321,0
322,0
323,1
324,0
325,1
326,0
327,0
328,0
329,1
330,0
331,1
332,1
333,0
334,0
335,1
336,0
337,0
338,0
339,0
340,1
341,1
342,1
343,1
344,0
345,0
346,1
347,1
348,0
349,0
350,1
351,0
352,1
353,0
354,0
355,1
356,0
357,0
358,1
359,0
360,1
361,0
362,0
363,0
364,1
365,0
366,0
367,0
368,0
369,1
370,1
371,1
372,0
373,1
374,1
375,1
376,0
377,1
378,1
379,1
380,0
381,1
382,0
383,1
384,0
385,1
386,0
387,0
388,1
389,0
390,1
391,0
392,0
393,1
394,0
395,1
396,1
397,0
398,0
399,0
400,1
401,0
402,0
403,0
404,0
405,0
406,0
407,1
408,0
409,0
410,0
411,1
412,0
413,0
414,1
415,1
416,1
417,0
418,1
419,0
420,0
421,1
422,1
423,1
424,0
425,0
426,1
427,1
428,1
429,1
430,0
431,0
432,0
433,0
434,1
435,0
436,0
437,0
438,0
439,0
440,1
441,1
442,0
443,0
444,0
445,1
446,0
447,0
448,1
449,0
450,1
451,0
452,0
453,1
454,1
455,0
456,1
457,0
458,1
459,1
460,1
461,1
462,1
463,1
464,0
465,0
466,1
467,1
468,0
469,1
470,1
471,1
472,1
473,1
474,1
475,0
476,0
477,1
478,0
479,0
480,0
481,0
482,0
483,0
484,1
485,0
486,0
487,0
488,1
489,1
490,0
491,0
492,0
493,0
494,1
495,1
496,0
497,0
498,0
499,0
500,0
501,0
502,1
503,0
504,0
505,0
506,0
507,1
508,1
509,0
510,0
511,1
512,0
513,1
514,1
515,1
516,1
517,1
518,1
519,0
520,1
521,0
522,1
523,1
524,1
525,1
526,0
527,1
528,0
529,1
530,0
531,0
532,1
533,0
534,0
535,1
536,0
537,1
538,0
539,0
540,1
541,1
542,1
543,1
544,1
545,1
546,0
547,1
548,0
549,0
550,0
551,0
552,0
553,1
554,1
555,1
556,0
557,0
558,1
559,0
560,0
561,1
562,1
563,0
564,1
565,0
566,1
567,1
568,1
569,1
570,1
571,0
572,1
573,1
574,1
575,1
576,0
577,0
578,0
579,1
580,0
581,0
582,0
583,0
584,1
585,1
586,0
587,1
588,0
589,1
590,1
591,0
592,0
593,1
594,1
595,0
596,0
597,1
598,0
599,0
600,0
601,1
602,0
