,column_name,percent_missing
shar,shar,0.12673674036486648
zipcode,zipcode,0.12697837380693489
shar_o,shar_o,0.12854899118037935
match_es,match_es,0.13990576295759333
amb4_1,amb4_1,0.22580645161290322
fun4_1,fun4_1,0.22580645161290322
intel4_1,intel4_1,0.22580645161290322
attr4_1,attr4_1,0.22580645161290322
sinc4_1,sinc4_1,0.22580645161290322
shar4_1,shar4_1,0.22846441947565543
undergra,undergra,0.4142805364262414
sinc5_1,sinc5_1,0.4152470701945149
intel5_1,intel5_1,0.4152470701945149
fun5_1,fun5_1,0.4152470701945149
amb5_1,amb5_1,0.4152470701945149
attr5_1,attr5_1,0.4152470701945149
income,income,0.4896701703515767
mn_sat,mn_sat,0.6265555152833152
expnum,expnum,0.7848254198381056
